estacion,fecha,ndvi,sensor,z_score
CP Pajarales,2013-04,0.3755,Landsat 8,-1.228949242203748
CP Pajarales,2013-05,0.4187,Landsat 8,-0.9097155475950085
CP Pajarales,2013-06,0.4778,Landsat 8,-0.47298611816499686
CP Pajarales,2013-09,0.7311,Landsat 8,1.3988170032330056
CP Pajarales,2013-10,0.577,Landsat 8,0.26006903241803425
CP Pajarales,2013-11,0.5583,Landsat 8,0.12188222479804792
CP Pajarales,2013-12,0.5092,Landsat 8,-0.24095051606512616
CP Pajarales,2014-01,0.4401,Landsat 8,-0.7515766340619756
CP Pajarales,2014-02,0.3836,Landsat 8,-1.1690929244646096
CP Pajarales,2014-03,0.3924,Landsat 8,-1.104063838525792
CP Pajarales,2014-07,0.4497,Landsat 8,-0.6806358130378113
CP Pajarales,2014-09,0.5323,Landsat 8,-0.07024916547573065
CP Pajarales,2014-10,0.6909,Landsat 8,1.1017523151943174
CP Pajarales,2014-11,0.6729,Landsat 8,0.96873827577401
CP Pajarales,2014-12,0.61,Landsat 8,0.5039281046885994
CP Pajarales,2015-01,0.5286,Landsat 8,-0.09759094024546093
CP Pajarales,2015-02,0.5131,Landsat 8,-0.21213080752405927
CP Pajarales,2015-03,0.4225,Landsat 8,-0.8816348059396103
CP Pajarales,2015-04,0.4405,Landsat 8,-0.7486207665193021
CP Pajarales,2015-05,0.4843,Landsat 8,-0.42495327059655225
CP Pajarales,2015-06,0.5318,Landsat 8,-0.07394399990407215
CP Pajarales,2015-08,0.5908,Landsat 8,0.36204646264027074
CP Pajarales,2015-09,0.5881,Landsat 8,0.34209435672722427
CP Pajarales,2015-11,0.6896,Landsat 8,1.0921457456806287
CP Pajarales,2015-12,0.6547,Landsat 8,0.8342463025823642
CP Pajarales,2016-01,0.5895,Landsat 8,0.352439893126582
CP Pajarales,2016-02,0.5329,Landsat 8,-0.06581536416172006
CP Pajarales,2016-03,0.4499,Landsat 8,-0.6791578792664743
CP Pajarales,2016-04,0.4922,Landsat 8,-0.3665748866287502
CP Pajarales,2016-05,0.6839,Landsat 8,1.0500246331975307
CP Pajarales,2016-06,0.7576,Landsat 8,1.5946432279351264
CP Pajarales,2016-07,0.6372,Landsat 8,0.7049270975903983
CP Pajarales,2016-09,0.7293,Landsat 8,1.3855155992909747
CP Pajarales,2016-10,0.7295,Landsat 8,1.386993533062312
CP Pajarales,2016-11,0.6529,Landsat 8,0.820944898640334
CP Pajarales,2016-12,0.6801,Landsat 8,1.021943891542133
CP Pajarales,2017-01,0.6067,Landsat 8,0.4795421974615431
CP Pajarales,2017-02,0.5996,Landsat 8,0.42707554857908825
CP Pajarales,2017-03,0.5404,Landsat 8,-0.010392847736592027
CP Pajarales,2017-04,0.531,Landsat 8,-0.07985573498941934
CP Pajarales,2017-07,0.6976,Landsat 8,1.151263096534099
CP Pajarales,2017-10,0.6057,Landsat 8,0.4721525286048593
CP Pajarales,2017-12,0.5591,Landsat 8,0.12779395988339512
CP Pajarales,2018-01,0.291387230635377,Sentinel-2,-1.8505147544269285
CP Pajarales,2018-02,0.273822510524469,Sentinel-2,-1.980312219606873
CP Pajarales,2018-03,0.2033011153499165,Sentinel-2,-2.5014419772581538
CP Pajarales,2018-12,0.3855978103869645,Sentinel-2,-1.1543297672664985
CP Pajarales,2019-01,0.3592341477233292,Sentinel-2,-1.3491485042000815
CP Pajarales,2019-02,0.3062592973932707,Sentinel-2,-1.7406151058715995
CP Pajarales,2019-03,0.2697413347066411,Sentinel-2,-2.0104707574465266
CP Pajarales,2019-04,0.276902141183375,Sentinel-2,-1.9575547688366668
CP Pajarales,2019-05,0.3497769133799863,Sentinel-2,-1.4190343342974427
CP Pajarales,2019-06,0.4134875011081989,Sentinel-2,-0.9482341883212501
CP Pajarales,2019-07,0.4359340542177366,Sentinel-2,-0.7823615938678005
CP Pajarales,2019-08,0.4294368161680127,Sentinel-2,-0.8303740315383061
CP Pajarales,2019-09,0.3609669790078748,Sentinel-2,-1.3363434548227875
CP Pajarales,2019-10,0.3293000856591661,Sentinel-2,-1.5703513103896671
CP Pajarales,2019-11,0.4797017596436402,Sentinel-2,-0.45893274415349083
CP Pajarales,2019-12,0.4781525047590252,Sentinel-2,-0.47038122472539545
CP Pajarales,2020-01,0.5008350760850654,Sentinel-2,-0.30276453380784774
CP Pajarales,2020-02,0.4500260883435674,Sentinel-2,-0.6782261281608237
CP Pajarales,2020-03,0.3474421041186686,Sentinel-2,-1.436287801582099
CP Pajarales,2020-04,0.3317184311076161,Sentinel-2,-1.5524805383445528
CP Pajarales,2020-05,0.3760807226664583,Sentinel-2,-1.2246578940010506
CP Pajarales,2020-06,0.4583682665770816,Sentinel-2,-0.6165801934717186
CP Pajarales,2020-07,0.4451114971424024,Sentinel-2,-0.7145433297034048
CP Pajarales,2020-08,0.4693270344663397,Sentinel-2,-0.5355985276928413
CP Pajarales,2020-09,0.4498249309929394,Sentinel-2,-0.6797126143700523
CP Pajarales,2020-10,0.4111176057993319,Sentinel-2,-0.9657469298787855
CP Pajarales,2020-11,0.5172545142205938,Sentinel-2,-0.18143032317348765
CP Pajarales,2020-12,0.5151656827872388,Sentinel-2,-0.19686609576341266
CP Pajarales,2021-01,0.5117233869102195,Sentinel-2,-0.2223035224013138
CP Pajarales,2021-02,0.46591107297883,Sentinel-2,-0.5608413519127232
CP Pajarales,2021-03,0.4072880802026603,Sentinel-2,-0.9940458559163831
CP Pajarales,2021-04,0.4031416967572047,Sentinel-2,-1.0246862565311354
CP Pajarales,2021-05,0.457323797550602,Sentinel-2,-0.6242984737084656
CP Pajarales,2021-06,0.5229093421119391,Sentinel-2,-0.1396430176149064
CP Pajarales,2021-07,0.5016565892140437,Sentinel-2,-0.2966938238232802
CP Pajarales,2021-08,0.4976452065748366,Sentinel-2,-0.32633661318447077
CP Pajarales,2021-09,0.4379200093360758,Sentinel-2,-0.7676860431790378
CP Pajarales,2021-10,0.5219042419896935,Sentinel-2,-0.14707037468611325
CP Pajarales,2021-11,0.4900261240078738,Sentinel-2,-0.3826391103460578
CP Pajarales,2021-12,0.5237878361350434,Sentinel-2,-0.1331512376915893
CP Pajarales,2022-01,0.542965812524781,Sentinel-2,0.008567657169871708
CP Pajarales,2022-02,0.5329689735662421,Sentinel-2,-0.06530567234732694
CP Pajarales,2022-03,0.5042427813441921,Sentinel-2,-0.2775827203817216
CP Pajarales,2022-04,0.4530560833721283,Sentinel-2,-0.6558354682623603
CP Pajarales,2022-05,0.4988697829656908,Sentinel-2,-0.31728739916634513
CP Pajarales,2022-06,0.3269204904940942,Sentinel-2,-1.587935730672514
CP Pajarales,2022-07,0.5569022903319114,Sentinel-2,0.1115536131930877
CP Pajarales,2022-08,0.5213534596725893,Sentinel-2,-0.15114047362163074
CP Pajarales,2022-09,0.2166218443175933,Sentinel-2,-2.4030062012573867
CP Pajarales,2022-10,0.5294924902889233,Sentinel-2,-0.09099573255251131
CP Pajarales,2022-12,0.6364070557197453,Sentinel-2,0.6990675019375149
CP Pajarales,2023-01,0.6646406669875272,Sentinel-2,0.9077045398347592
CP Pajarales,2023-02,0.6351366397410991,Sentinel-2,0.6896795485450796
CP Pajarales,2023-03,0.5400523857398644,Sentinel-2,-0.012961602008855478
CP Pajarales,2023-04,0.529768980304604,Sentinel-2,-0.08895256289445207
CP Pajarales,2023-05,0.5826961363629692,Sentinel-2,0.3021615939028924
CP Pajarales,2023-06,0.6810389240225907,Sentinel-2,1.0288822291506634
CP Pajarales,2023-07,0.6678216482850109,Sentinel-2,0.9312109382624678
CP Pajarales,2023-08,0.6821919859252026,Sentinel-2,1.037402974782223
CP Pajarales,2023-09,0.6984292014823044,Sentinel-2,1.1573906209037996
CP Pajarales,2023-10,0.7344698988575123,Sentinel-2,1.423719439870539
CP Pajarales,2023-11,0.7471206641909259,Sentinel-2,1.5172044064680803
CP Pajarales,2023-12,0.6558442543442872,Sentinel-2,0.8427019632744687
CP Pajarales,2024-01,0.6534104091910528,Sentinel-2,0.8247166535436216
CP Pajarales,2024-02,0.6258914940436914,Sentinel-2,0.6213609833094415
CP Pajarales,2024-03,0.6053706936945675,Sentinel-2,0.46971906405529523
CP Pajarales,2024-04,0.6177697432685338,Sentinel-2,0.5613439345445125
CP Pajarales,2024-05,0.6155118917785084,Sentinel-2,0.5446591597056544
CP Pajarales,2024-07,0.634707465748148,Sentinel-2,0.6865080948552698
CP Pajarales,2024-08,0.5852816747859649,Sentinel-2,0.32126786666506296
CP Pajarales,2024-09,0.621177409814062,Sentinel-2,0.5865254618899651
CP Pajarales,2024-10,0.7085224663690585,Sentinel-2,1.2319765060997063
CP Pajarales,2024-11,0.5965450104763128,Sentinel-2,0.4045001876384016
CP Pajarales,2024-12,0.7526792289836762,Sentinel-2,1.5582803596049262
CP Pajarales,2025-01,0.7649295899660498,Sentinel-2,1.648806470639506
CP Pajarales,2025-02,0.6929298105927082,Sentinel-2,1.1167519433162203
CP Pajarales,2025-03,0.6233078646371737,Sentinel-2,0.6022688175468853
CP Pajarales,2025-04,0.642305961428951,Sentinel-2,0.7426584617453464
CP Pajarales,2025-05,0.7572198733306014,Sentinel-2,1.591834217724676
CP Pajarales,2025-06,0.7953143197560977,Sentinel-2,1.873339562087775
CP Pajarales,2025-07,0.770843653050214,Sentinel-2,1.6925094384290174
CP Pajarales,2025-08,0.7570079049464337,Sentinel-2,1.5902678415575904
CP Pajarales,2025-09,0.7343409356711726,Sentinel-2,1.4227664446287858
CP Pajarales,2025-10,0.7128877025443374,Sentinel-2,1.2642341559162347
CP Pajarales,2025-11,0.7209759961999732,Sentinel-2,1.3240039676469995
CP Pajarales,2025-12,0.769970813693214,Sentinel-2,1.6860594446157067
Caño Clarín,2013-04,0.6051,Landsat 8,-0.23430250507821773
Caño Clarín,2013-05,0.5742,Landsat 8,-0.43919295566674743
Caño Clarín,2013-11,0.6971,Landsat 8,0.3757273154442675
Caño Clarín,2013-12,0.6828,Landsat 8,0.2809074629065329
Caño Clarín,2014-01,0.6123,Landsat 8,-0.18656104086341468
Caño Clarín,2014-02,0.5471,Landsat 8,-0.6188865223641317
Caño Clarín,2014-03,0.4863,Landsat 8,-1.0220366646224694
Caño Clarín,2014-07,0.4609,Landsat 8,-1.1904579411580252
Caño Clarín,2014-09,0.4514,Landsat 8,-1.2534501508858902
Caño Clarín,2014-11,0.793,Landsat 8,1.0116170957497705
Caño Clarín,2014-12,0.7848,Landsat 8,0.9572448726162448
Caño Clarín,2015-01,0.7544,Landsat 8,0.7556698014870753
Caño Clarín,2015-02,0.6934,Landsat 8,0.35119350744499345
Caño Clarín,2015-03,0.6171,Landsat 8,-0.15473339805354575
Caño Clarín,2015-04,0.5871,Landsat 8,-0.3536561656152257
Caño Clarín,2015-05,0.4815,Landsat 8,-1.0538643074323384
Caño Clarín,2015-06,0.4568,Landsat 8,-1.217644052724788
Caño Clarín,2015-08,0.439,Landsat 8,-1.3356715614780514
Caño Clarín,2015-09,0.5201,Landsat 8,-0.7979170131696436
Caño Clarín,2015-11,0.6565,Landsat 8,0.106518503344127
Caño Clarín,2015-12,0.5621,Landsat 8,-0.5194251385832916
Caño Clarín,2016-01,0.5031,Landsat 8,-0.9106399147879289
Caño Clarín,2016-02,0.4264,Landsat 8,-1.4192191238539569
Caño Clarín,2016-03,0.4129,Landsat 8,-1.5087343692567128
Caño Clarín,2016-05,0.5532,Landsat 8,-0.5784388929599235
Caño Clarín,2016-06,0.5987,Landsat 8,-0.2767393621580425
Caño Clarín,2016-07,0.5779,Landsat 8,-0.4146591476674741
Caño Clarín,2016-08,0.5919,Landsat 8,-0.3218285228053568
Caño Clarín,2016-09,0.5042,Landsat 8,-0.9033460799773341
Caño Clarín,2016-12,0.4158,Landsat 8,-1.489505168392417
Caño Clarín,2017-01,0.4085,Landsat 8,-1.5379097084990927
Caño Clarín,2017-02,0.4266,Landsat 8,-1.4178929720702125
Caño Clarín,2017-03,0.4133,Landsat 8,-1.5060820656892238
Caño Clarín,2017-04,0.3952,Landsat 8,-1.626098802118104
Caño Clarín,2017-12,0.6105,Landsat 8,-0.1984964069171149
Caño Clarín,2018-02,0.2849257580836664,Sentinel-2,-2.3573007152102132
Caño Clarín,2018-03,0.1655264359602509,Sentinel-2,-3.1490088352694903
Caño Clarín,2018-12,0.7827295788220364,Sentinel-2,0.9435164089249501
Caño Clarín,2019-01,0.6076554949213265,Sentinel-2,-0.21735763433688116
Caño Clarín,2019-02,0.3513343116545382,Sentinel-2,-1.9169616063406834
Caño Clarín,2019-03,0.5790814607944049,Sentinel-2,-0.4068251659678523
Caño Clarín,2019-04,0.5477565037273646,Sentinel-2,-0.6145334044187342
Caño Clarín,2019-06,0.676168508890646,Sentinel-2,0.23693564408875373
Caño Clarín,2019-07,0.7251465049919563,Sentinel-2,0.5616969285586811
Caño Clarín,2019-08,0.7570030016749387,Sentinel-2,0.7729296780586256
Caño Clarín,2019-12,0.7608169540879111,Sentinel-2,0.7982190770365256
Caño Clarín,2020-01,0.7812012359640647,Sentinel-2,0.9333823358885878
Caño Clarín,2020-02,0.7561090292109749,Sentinel-2,0.767001962170105
Caño Clarín,2020-03,0.7000620629767202,Sentinel-2,0.39536804094497313
Caño Clarín,2020-04,0.5503151316949073,Sentinel-2,-0.5975677592032572
Caño Clarín,2020-05,0.562800798324932,Sentinel-2,-0.514778313840023
Caño Clarín,2020-08,0.626164851094027,Sentinel-2,-0.09462655581493339
Caño Clarín,2020-09,0.8126412207394407,Sentinel-2,1.141853295342417
Caño Clarín,2020-10,0.7982612496902165,Sentinel-2,1.0465031740568003
Caño Clarín,2020-11,0.6146116353653754,Sentinel-2,-0.17123314404761647
Caño Clarín,2020-12,0.8091026149587238,Sentinel-2,1.1183896535020852
Caño Clarín,2021-01,0.8151722977047389,Sentinel-2,1.1586362565040416
Caño Clarín,2021-02,0.7772946941208817,Sentinel-2,0.9074789987205392
Caño Clarín,2021-03,0.7472670318939265,Sentinel-2,0.7083728096007645
Caño Clarín,2021-04,0.7464002516912848,Sentinel-2,0.7026253990415255
Caño Clarín,2021-06,0.7866688673891129,Sentinel-2,0.9696368817245148
Caño Clarín,2021-07,0.8066658246244222,Sentinel-2,1.1022318842598573
Caño Clarín,2021-08,0.7954948475184183,Sentinel-2,1.0281598281833753
Caño Clarín,2021-11,0.8255257133825673,Sentinel-2,1.2272872598490454
Caño Clarín,2021-12,0.7876697296365968,Sentinel-2,0.9762733579984312
Caño Clarín,2022-01,0.7707748985913973,Sentinel-2,0.8642478063651621
Caño Clarín,2022-02,0.7356137424360601,Sentinel-2,0.6311026565955604
Caño Clarín,2022-03,0.7425438292030316,Sentinel-2,0.6770543912331785
Caño Clarín,2022-04,0.7607260638369601,Sentinel-2,0.7976164056944074
Caño Clarín,2022-05,0.7663753677798898,Sentinel-2,0.8350755781985638
Caño Clarín,2022-12,0.798545465709064,Sentinel-2,1.0483877419586174
Caño Clarín,2023-01,0.77041121676206,Sentinel-2,0.8618363198317069
Caño Clarín,2023-02,0.717371510689219,Sentinel-2,0.5101428157427879
Caño Clarín,2023-03,0.5918958965098173,Sentinel-2,-0.32185573205948326
Caño Clarín,2023-04,0.7081953460001448,Sentinel-2,0.449297879891041
Caño Clarín,2023-05,0.7450499782414938,Sentinel-2,0.6936720613216095
Caño Clarín,2023-07,0.7700150801736855,Sentinel-2,0.8592096336153099
Caño Clarín,2023-08,0.7903275467659308,Sentinel-2,0.9938967026330964
Caño Clarín,2023-09,0.5585683846500098,Sentinel-2,-0.5428424285627373
Caño Clarín,2023-11,0.7249446903752967,Sentinel-2,0.5603587444893371
Caño Clarín,2023-12,0.5738041042906538,Sentinel-2,-0.44181804467237934
Caño Clarín,2024-01,0.5489510415979757,Sentinel-2,-0.6066127117794278
Caño Clarín,2024-02,0.6255912832644627,Sentinel-2,-0.0984297458163093
Caño Clarín,2024-03,0.6913473712223969,Sentinel-2,0.33758302087107456
Caño Clarín,2024-04,0.7061404015052472,Sentinel-2,0.43567203835401846
Caño Clarín,2024-07,0.8591279377461966,Sentinel-2,1.4500955087371
Caño Clarín,2024-08,0.8309308733114589,Sentinel-2,1.2631275722546655
Caño Clarín,2024-09,0.7106118369671361,Sentinel-2,0.4653210489224317
Caño Clarín,2024-12,0.7946822407745165,Sentinel-2,1.0227716287688349
Caño Clarín,2025-01,0.6086762876920735,Sentinel-2,-0.21058900356808316
Caño Clarín,2025-02,0.4033635188011377,Sentinel-2,-1.5719684770193
Caño Clarín,2025-03,0.2226628294376285,Sentinel-2,-2.7701511846357216
Caño Clarín,2025-04,0.5573560522477848,Sentinel-2,-0.5508811124512469
Caño Clarín,2025-06,0.8021739738163893,Sentinel-2,1.072447504452922
Caño Clarín,2025-07,0.8060995971636316,Sentinel-2,1.0984773664741943
Caño Clarín,2025-08,0.806457834249507,Sentinel-2,1.10085275022638
Caño Clarín,2025-09,0.7815435197221154,Sentinel-2,0.935651936970017
Caño Clarín,2025-11,0.7481715260568029,Sentinel-2,0.7143702923381899
Caño Clarín,2025-12,0.7353094083251318,Sentinel-2,0.6290846904752507
Caño Palos,2013-04,0.7324,Landsat 8,0.5997799552106018
Caño Palos,2013-05,0.731,Landsat 8,0.589853202814238
Caño Palos,2013-06,0.6271,Landsat 8,-0.14685363574443833
Caño Palos,2013-09,0.7429,Landsat 8,0.6742305981833262
Caño Palos,2013-10,0.8538,Landsat 8,1.4605711987238192
Caño Palos,2013-11,0.8586,Landsat 8,1.4946057783684936
Caño Palos,2013-12,0.8212,Landsat 8,1.229419678637074
Caño Palos,2014-01,0.7805,Landsat 8,0.9408348053999404
Caño Palos,2014-02,0.7166,Landsat 8,0.48774946388021573
Caño Palos,2014-03,0.6235,Landsat 8,-0.1723795704779435
Caño Palos,2014-07,0.593,Landsat 8,-0.3886409619701446
Caño Palos,2014-08,0.4606,Landsat 8,-1.3274281171690736
Caño Palos,2014-09,0.6387,Landsat 8,-0.06460340160314201
Caño Palos,2014-10,0.69,Landsat 8,0.29914116834931254
Caño Palos,2014-11,0.795,Landsat 8,1.0436475980765607
Caño Palos,2014-12,0.7711,Landsat 8,0.874183753595787
Caño Palos,2015-01,0.8089,Landsat 8,1.1422060682975959
Caño Palos,2015-02,0.7665,Landsat 8,0.8415672814363073
Caño Palos,2015-03,0.6569,Landsat 8,0.06444437954958085
Caño Palos,2015-04,0.6576,Landsat 8,0.06940775574776196
Caño Palos,2015-05,0.5194,Landsat 8,-0.9105045165218153
Caño Palos,2015-06,0.5902,Landsat 8,-0.4084944667628714
Caño Palos,2015-08,0.6143,Landsat 8,-0.23761251479690304
Caño Palos,2015-09,0.6294,Landsat 8,-0.13054539966469883
Caño Palos,2015-11,0.7431,Landsat 8,0.6756487056685209
Caño Palos,2015-12,0.665,Landsat 8,0.1218777326999685
Caño Palos,2016-01,0.622,Landsat 8,-0.1830153766169046
Caño Palos,2016-02,0.5021,Landsat 8,-1.0331708139911617
Caño Palos,2016-03,0.4722,Landsat 8,-1.2451778830277778
Caño Palos,2016-04,0.3861,Landsat 8,-1.8556731554041208
Caño Palos,2016-05,0.4638,Landsat 8,-1.3047383974059577
Caño Palos,2016-06,0.4559,Landsat 8,-1.3607536430711504
Caño Palos,2016-07,0.5347,Landsat 8,-0.8020192939044165
Caño Palos,2016-08,0.3804,Landsat 8,-1.8960892187321714
Caño Palos,2016-09,0.5344,Landsat 8,-0.8041464551322084
Caño Palos,2016-10,0.5919,Landsat 8,-0.3964405531387157
Caño Palos,2016-11,0.5718,Landsat 8,-0.5389603554007888
Caño Palos,2016-12,0.5829,Landsat 8,-0.46025538997247983
Caño Palos,2017-01,0.5548,Landsat 8,-0.6594994916423433
Caño Palos,2017-02,0.5094,Landsat 8,-0.9814098907815532
Caño Palos,2017-03,0.4339,Landsat 8,-1.5167454664425737
Caño Palos,2017-04,0.4374,Landsat 8,-1.4919285854516655
Caño Palos,2017-07,0.4024,Landsat 8,-1.7400973953607481
Caño Palos,2017-10,0.4901,Landsat 8,-1.1182572631028471
Caño Palos,2017-12,0.6916,Landsat 8,0.3104860282308709
Caño Palos,2018-02,0.5457595921854395,Sentinel-2,-0.7236008415975504
Caño Palos,2018-03,0.4480187736708489,Sentinel-2,-1.4166357733205663
Caño Palos,2018-12,0.6760459964804245,Sentinel-2,0.200199784151593
Caño Palos,2019-01,0.629538552026749,Sentinel-2,-0.12956299133359012
Caño Palos,2019-02,0.5565488709770976,Sentinel-2,-0.6470990565260332
Caño Palos,2019-03,0.4951180908867222,Sentinel-2,-1.0826763018636052
Caño Palos,2019-04,0.3491696574432147,Sentinel-2,-2.1175291314570392
Caño Palos,2019-05,0.4700727290666774,Sentinel-2,-1.2602613771956879
Caño Palos,2019-06,0.6075432911686632,Sentinel-2,-0.2855212116419037
Caño Palos,2019-07,0.6397750368108823,Sentinel-2,-0.05698081286128171
Caño Palos,2019-08,0.609857924851466,Sentinel-2,-0.26910921488657147
Caño Palos,2019-12,0.6294841196462748,Sentinel-2,-0.12994894616452726
Caño Palos,2020-01,0.6689932843099633,Sentinel-2,0.15019226455231693
Caño Palos,2020-02,0.5785071803308519,Sentinel-2,-0.49140284224212794
Caño Palos,2020-03,0.5093983151077202,Sentinel-2,-0.9814218375733219
Caño Palos,2020-04,0.3247785727261425,Sentinel-2,-2.290475030503537
Caño Palos,2020-05,0.4388999290772625,Sentinel-2,-1.4812932821930296
Caño Palos,2020-08,0.6300802251023726,Sentinel-2,-0.12572223811823877
Caño Palos,2020-09,0.6323563250520742,Sentinel-2,-0.10958346623962271
Caño Palos,2020-10,0.7258773224969957,Sentinel-2,0.553530666257992
Caño Palos,2020-11,0.7181778766930559,Sentinel-2,0.49893745762590014
Caño Palos,2020-12,0.766537733497286,Sentinel-2,0.8418348322110272
Caño Palos,2021-01,0.7427475880720728,Sentinel-2,0.6731499157041932
Caño Palos,2021-02,0.7077309669066735,Sentinel-2,0.4248632527997839
Caño Palos,2021-03,0.6536603777696596,Sentinel-2,0.041473716879335105
Caño Palos,2021-04,0.5335103653758856,Sentinel-2,-0.8104544427299336
Caño Palos,2021-06,0.6972784269280272,Sentinel-2,0.35074912688470533
Caño Palos,2021-07,0.754014006480705,Sentinel-2,0.7530348770872806
Caño Palos,2021-08,0.6564564103072574,Sentinel-2,0.06129909023141318
Caño Palos,2021-11,0.8599090533865968,Sentinel-2,1.503887670398756
Caño Palos,2021-12,0.8529037555243464,Sentinel-2,1.4542163437263749
Caño Palos,2022-01,0.8006382332189527,Sentinel-2,1.083625701731913
Caño Palos,2022-02,0.7465770085883419,Sentinel-2,0.7003025651945912
Caño Palos,2022-03,0.7258161805266162,Sentinel-2,0.5530971368287187
Caño Palos,2022-04,0.4804082713636149,Sentinel-2,-1.1869768277215174
Caño Palos,2022-05,0.6999868420169394,Sentinel-2,0.3699532454377092
Caño Palos,2022-12,0.8420231738526053,Sentinel-2,1.3770671721665302
Caño Palos,2023-01,0.7974450338076241,Sentinel-2,1.0609842017972904
Caño Palos,2023-02,0.7675004130595973,Sentinel-2,0.8486607476768149
Caño Palos,2023-03,0.7372304413620725,Sentinel-2,0.6340303804723483
Caño Palos,2023-04,0.5005779895010383,Sentinel-2,-1.0439626863967748
Caño Palos,2023-05,0.7311764791735728,Sentinel-2,0.5911045349993608
Caño Palos,2023-07,0.7259572442942926,Sentinel-2,0.5540973547528774
Caño Palos,2023-08,0.7408965466944031,Sentinel-2,0.6600250375388004
Caño Palos,2023-09,0.7881176774337537,Sentinel-2,0.9948482323429673
Caño Palos,2023-11,0.8544886264524372,Sentinel-2,1.4654539303573404
Caño Palos,2023-12,0.8444935213208146,Sentinel-2,1.3945832633450277
Caño Palos,2024-01,0.792600873093895,Sentinel-2,1.0266364989591625
Caño Palos,2024-02,0.7413014513527061,Sentinel-2,0.6628960291724489
Caño Palos,2024-03,0.7206686876680853,Sentinel-2,0.5165986460653728
Caño Palos,2024-04,0.6655851282751543,Sentinel-2,0.126026606633945
Caño Palos,2024-07,0.7938886076756317,Sentinel-2,1.0357672292056874
Caño Palos,2024-08,0.4908536008133342,Sentinel-2,-1.1129138283316566
Caño Palos,2024-09,0.2723759118642728,Sentinel-2,-2.662038058565236
Caño Palos,2024-12,0.857879702090268,Sentinel-2,1.4894984790816879
Caño Palos,2025-01,0.8554447493947178,Sentinel-2,1.4722333558634135
Caño Palos,2025-02,0.8017233127060114,Sentinel-2,1.0913194984450594
Caño Palos,2025-03,0.7548597423689101,Sentinel-2,0.7590315990550874
Caño Palos,2025-04,0.3769828599975639,Sentinel-2,-1.9203185778092366
Caño Palos,2025-06,0.7585359079589912,Sentinel-2,0.7850975887556345
Caño Palos,2025-07,0.793150591169045,Sentinel-2,1.0305342955447474
Caño Palos,2025-08,0.8163123175365938,Sentinel-2,1.1947633832040165
Caño Palos,2025-09,0.6433249425275575,Sentinel-2,-0.031810073518518424
Caño Palos,2025-11,0.6777376615266857,Sentinel-2,0.2121945984743195
Caño Palos,2025-12,0.8488234238950193,Sentinel-2,1.4252845995982466
Isla Boquerón,2013-04,0.3385,Landsat 8,0.7918262804694005
Isla Boquerón,2013-05,0.3882,Landsat 8,1.3699931569108312
Isla Boquerón,2013-06,0.3942,Landsat 8,1.4397919749922918
Isla Boquerón,2013-09,0.3892,Landsat 8,1.3816262932577414
Isla Boquerón,2013-10,0.3258,Landsat 8,0.6440854488636419
Isla Boquerón,2013-11,0.3383,Landsat 8,0.7894996532000181
Isla Boquerón,2013-12,0.2564,Landsat 8,-0.1632542136119173
Isla Boquerón,2014-01,0.2785,Landsat 8,0.09383809965479561
Isla Boquerón,2014-02,0.2815,Landsat 8,0.12873750869552525
Isla Boquerón,2014-03,0.3083,Landsat 8,0.440505562792716
Isla Boquerón,2014-07,0.3296,Landsat 8,0.6882913669819006
Isla Boquerón,2014-08,0.2794,Landsat 8,0.1043079223670142
Isla Boquerón,2014-09,0.3646,Landsat 8,1.0954511391237531
Isla Boquerón,2014-10,0.4094,Landsat 8,1.616615647465325
Isla Boquerón,2014-11,0.4089,Landsat 8,1.61079907929187
Isla Boquerón,2014-12,0.3564,Landsat 8,1.0000594210790907
Isla Boquerón,2015-01,0.2472,Landsat 8,-0.2702790680034902
Isla Boquerón,2015-02,0.3101,Landsat 8,0.4614452082171538
Isla Boquerón,2015-03,0.2934,Landsat 8,0.2671718312237555
Isla Boquerón,2015-04,0.3311,Landsat 8,0.7057410715022657
Isla Boquerón,2015-05,0.3273,Landsat 8,0.6615351533840071
Isla Boquerón,2015-06,0.3441,Landsat 8,0.8569718440120969
Isla Boquerón,2015-08,0.3449,Landsat 8,0.8662783530896246
Isla Boquerón,2015-09,0.3625,Landsat 8,1.0710215527952422
Isla Boquerón,2015-11,0.2926,Landsat 8,0.2578653221462278
Isla Boquerón,2015-12,0.3243,Landsat 8,0.6266357443432768
Isla Boquerón,2016-01,0.2877,Landsat 8,0.20086295404636823
Isla Boquerón,2016-02,0.2829,Landsat 8,0.14502389958119952
Isla Boquerón,2016-03,0.4105,Landsat 8,1.629412097446926
