estacion,fecha,ndvi,sensor
Isla Boquerón,2013-04,0.3385,Landsat 8
Punta Cerro,2013-04,0.2816,Landsat 8
Punta Chino,2013-04,0.3047,Landsat 8
Río Sevilla,2013-04,0.3676,Landsat 8
Caño Palos,2013-04,0.7324,Landsat 8
CP Pajarales,2013-04,0.3755,Landsat 8
Caño Clarín,2013-04,0.6051,Landsat 8
VIPIS,2013-04,0.2279,Landsat 8
Isla Boquerón,2013-05,0.3882,Landsat 8
Punta Cerro,2013-05,0.3758,Landsat 8
Punta Chino,2013-05,0.4399,Landsat 8
Río Sevilla,2013-05,0.3859,Landsat 8
Caño Palos,2013-05,0.731,Landsat 8
CP Pajarales,2013-05,0.4187,Landsat 8
Caño Clarín,2013-05,0.5742,Landsat 8
VIPIS,2013-05,0.2068,Landsat 8
Isla Boquerón,2013-06,0.3942,Landsat 8
Punta Cerro,2013-06,0.3857,Landsat 8
Punta Chino,2013-06,0.4842,Landsat 8
Río Sevilla,2013-06,0.4374,Landsat 8
Caño Palos,2013-06,0.6271,Landsat 8
CP Pajarales,2013-06,0.4778,Landsat 8
VIPIS,2013-06,0.1819,Landsat 8
Isla Boquerón,2013-09,0.3892,Landsat 8
Punta Cerro,2013-09,0.4117,Landsat 8
Punta Chino,2013-09,0.4826,Landsat 8
Río Sevilla,2013-09,0.4336,Landsat 8
Caño Palos,2013-09,0.7429,Landsat 8
CP Pajarales,2013-09,0.7311,Landsat 8
VIPIS,2013-09,0.0454,Landsat 8
Isla Boquerón,2013-10,0.3258,Landsat 8
Punta Cerro,2013-10,0.307,Landsat 8
Punta Chino,2013-10,0.4403,Landsat 8
Río Sevilla,2013-10,0.4815,Landsat 8
Caño Palos,2013-10,0.8538,Landsat 8
CP Pajarales,2013-10,0.577,Landsat 8
VIPIS,2013-10,0.557,Landsat 8
Isla Boquerón,2013-11,0.3383,Landsat 8
Punta Cerro,2013-11,0.33,Landsat 8
Punta Chino,2013-11,0.4546,Landsat 8
Río Sevilla,2013-11,0.5389,Landsat 8
Caño Palos,2013-11,0.8586,Landsat 8
CP Pajarales,2013-11,0.5583,Landsat 8
Caño Clarín,2013-11,0.6971,Landsat 8
VIPIS,2013-11,0.4015,Landsat 8
Isla Boquerón,2013-12,0.2564,Landsat 8
Punta Cerro,2013-12,0.2211,Landsat 8
Punta Chino,2013-12,0.3483,Landsat 8
Río Sevilla,2013-12,0.3582,Landsat 8
Caño Palos,2013-12,0.8212,Landsat 8
CP Pajarales,2013-12,0.5092,Landsat 8
Caño Clarín,2013-12,0.6828,Landsat 8
VIPIS,2013-12,0.353,Landsat 8
Isla Boquerón,2014-01,0.2785,Landsat 8
Punta Cerro,2014-01,0.2804,Landsat 8
Punta Chino,2014-01,0.3511,Landsat 8
Río Sevilla,2014-01,0.3318,Landsat 8
Caño Palos,2014-01,0.7805,Landsat 8
CP Pajarales,2014-01,0.4401,Landsat 8
Caño Clarín,2014-01,0.6123,Landsat 8
VIPIS,2014-01,0.3284,Landsat 8
Isla Boquerón,2014-02,0.2815,Landsat 8
Punta Cerro,2014-02,0.2681,Landsat 8
Punta Chino,2014-02,0.3794,Landsat 8
Río Sevilla,2014-02,0.3621,Landsat 8
Caño Palos,2014-02,0.7166,Landsat 8
CP Pajarales,2014-02,0.3836,Landsat 8
Caño Clarín,2014-02,0.5471,Landsat 8
VIPIS,2014-02,0.3176,Landsat 8
Isla Boquerón,2014-03,0.3083,Landsat 8
Punta Cerro,2014-03,0.2851,Landsat 8
Punta Chino,2014-03,0.3669,Landsat 8
Río Sevilla,2014-03,0.3426,Landsat 8
